Batch,Total Pods,Unscheduled,Active Nodes,Total Power (W),Avg Resource Fragmentation,LBF CPU,LBF Mem,LBF Pod
1,50,0,19,6149.613689182676,0.0,0.7861231261001321,0.780162285898242,1.0770329614269005
2,100,0,20,6851.7655999576045,0.0,0.7513711194712624,0.7266820494094085,1.0714476188783097
3,150,0,22,7322.258958928897,0.0,0.6298127703247632,0.6139758377228286,1.02241544067631
4,200,0,24,7650.639826700072,0.0,0.5355201941875422,0.5146642895545218,1.0004998750624607
5,250,0,28,7981.8062117446125,0.0,0.33246309397041907,0.3021344283313897,0.9666436778875657
6,300,0,29,8168.823000992792,0.0,0.3030248411299954,0.24918618481210303,0.9584710046040342
7,350,0,30,8281.528209015694,0.0,0.25133352820449323,0.17877229243835122,0.9710923787999087
8,400,0,30,8360.453577296865,0.0,0.254736253657369,0.18663354147429495,0.9634573161277047
9,450,0,30,8413.730533549156,0.0,0.2499222014649568,0.16989351217065657,0.9557622515466289
10,500,1,30,8454.574478356926,0.00026250371203322603,0.22243918929578757,0.14519682516373766,0.9428831094670435
11,550,42,30,8457.696013811987,0.008240556970122673,0.225728210110712,0.13933298026053875,0.9367183434109263
